"benchmark","version","application","file","line","function"
"spec2006","v1.1","445.gobmk","move_reasons.c","145","find_connection"
"spec2006","v1.1","482.sphinx3","vector.c","84","vector_sum_norm"
"spec2006","v1.1","464.h264ref","cabac.c","1344","writeRunLevel_CABAC"
"mediabench","default","h264enc-lencod","image.c","2242","PaddAutoCropBorders"
"NPB","2.3-OpenACC-C","BT","bt.c","1191","lhsy"
"spec2000","v1.3","197.parser","idiom.c","167","generate_id_connector"
"spec2000","v1.3","301.apsi","apsi.c","5950","horsmt"
"NPB","2.3-OpenACC-C","MG","mg.c","826","norm2u3"
"spec2000","v1.3","256.bzip2","bzip2.c","2159","sortIt"
"livermore","default","livermore","lloops.c","1984","endloop"
"mediabench","default","mpeg4dec","imgresample.c","423","h_resample_slow"
"spec2006","v1.1","445.gobmk","influence.c","1455","compute_followup_influence"
"mediabench","default","h264dec-ldecod","image.c","578","get_block"
"mediabench","default","h263enc","pred.c","1306","ReconChromBlock_P"
"spec2000","v1.3","175.vpr","stats.c","88","routing_stats"
"livermore","default","livermore","lloops.c","1600","endloop"
"Kernels","SERIAL","Branch","func.c","11366","func26"
"mediabench","default","mpeg4dec","ac3enc.c","1336","lshift_tab"
"livermore","default","livermore","lloops.c","2044","init"
"libraries","default","silk","SKP_Silk_decode_core.c","165","SKP_Silk_decode_core"
"NPB","2.3-OpenACC-C","MG","mg.c","1165","bubble"
"Kernels","SERIAL","Amr","amr.c","347","main"
"TSVC","default","default","tsc.c","1408","s128"
"ALPBench","v1.0","MPGdec","recon.c","1111","form_component_prediction2"
"GitApps","default","gap","trans.c","1509","FuncINV_TRANS"
"TSVC","default","default","tsc.c","1909","s1213"
"spec2006","v1.1","462.libquantum","classic.c","42","quantum_ipow"
"NPB","2.3-OpenACC-C","LU","lu.c","995","erhs"
"NPB","2.3-OpenACC-C","LU","lu.c","3310","verify"
"cortexsuite","default","sphinx","logmath.c","100","logmath_init"
"spec2006","v1.1","400.perlbench","util.c","342","Perl_rninstr"
"spec2006","v1.1","464.h264ref","leaky_bucket.c","233","calc_buffer"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","507","do_refine"
"libraries","default","daala","tf.c","86","od_tf_up_hv_lp"
"mediabench","default","h264dec-lencod","memalloc.c","556","get_mem2Dshort"
"TSVC","default","default","tsc.c","5087","vas"
"spec2006","v1.1","464.h264ref","macroblock.c","1459","LumaResidualCoding"
"polybench","4.1","linear-algebra-solvers-ludcmp","ludcmp.c","63","init_array"
"spec2000","v1.3","186.crafty","init.c","916","InitializeMasks"
"spec2006","v1.1","458.sjeng","moves.c","226","check_legal"
"polybench","4.1","linear-algebra-kernels-mvt","mvt.c","88","kernel_mvt"
"mediabench","default","mpeg4enc","ac3enc.c","634","compute_mantissa_size"
"spec2006","v1.1","464.h264ref","leaky_bucket.c","225","calc_buffer"
"libraries","default","twolame","psycho_4.c","210","psycho_4_init"
"mediabench","default","mpeg2dec","getpic.c","499","Add_Block"
"spec2006","v1.1","445.gobmk","board.c","1956","count_common_libs"
"NPB","2.3-OpenACC-C","UA-SNU","precond.c","382","setpcmo_pre"
"mediabench","default","h264dec-ldecod","macroblock.c","363","interpret_mb_mode_B"
"libraries","default","daala","rate.c","225","od_blog64"
"spec2006","v1.1","401.bzip2","blocksort.c","854","mainSort"
"Kernels","SERIAL","Amr","amr.c","349","main"
"NPB","2.3-OpenACC-C","BT","bt.c","795","initialize"
"polybench","4.1","linear-algebra-solvers-ludcmp","ludcmp.c","122","kernel_ludcmp"
"ASC-llnl","v1.0","amgmk","vector.c","263","hypre_SeqVectorSetConstantValues"
"spec2006","v1.1","435.gromacs","csettle.c","129","csettle"
"libraries","default","libsndfile","test_endswap.c","183","test_endswap_int64_t"
"mediabench","default","cjpeg","jquant2.c","519","compute_color"
"spec2000","v1.3","255.vortex","tree00.c","704","Tree_PromoteInternalNode"
"spec2000","v1.3","301.apsi","apsi.c","5416","leapfr"
"spec2006","v1.1","464.h264ref","block.c","1008","dct_luma"
"libraries","default","libdeep","autocoder.c","498","autocoder_compare"
"mediabench","default","h264enc-lencod","block.c","1203","dct_chroma"
"Kernels","SERIAL","Branch","func.c","32478","func39"
"livermore","default","livermore","lloops.c","2134","init"
"mediabench","default","mpeg4dec","mpegaudio.c","156","MPA_encode_init"
"spec2006","v1.1","464.h264ref","nal.c","82","RBSPtoEBSP"
"libraries","default","flac","lpc.c","876","FLAC_lpc_restore_signal"
"NPB","2.3-OpenACC-C","CG","cg.c","185","main"
"mediabench","default","h264dec-lencod","mv-search.c","1156","SATD8X8"
"mediabench","default","h264enc-lencod","mode_decision.c","869","submacroblock_mode_decision"
"spec2000","v1.3","183.equake","quake.c","958","arch_parsecommandline"
"spec2006","v1.1","482.sphinx3","dict.c","483","dict_word2basestr"
"libraries","default","daala","intra.c","82","od_resample_luma_coeffs"
"spec2000","v1.3","254.gap","vecffe.c","1219","SumVecFFEVecFFE"
"libraries","default","libogg","framing.c","497","ogg_stream_flush_i"
"GitApps","default","gap","trans.c","2563","FuncCYCLES_TRANS_LIST"
"polybench","4.1","linear-algebra-kernels-2mm","2mm.c","89","kernel_2mm"
"cortexsuite","default","sphinx","fe_sigproc.c","553","fe_hamming_window"
"Kernels","SERIAL","Branch","func.c","12986","func27"
"livermore","default","livermore","lloops.c","1416","kernels"
"spec2006","v1.1","482.sphinx3","vector.c","134","vector_is_zero"
"mediabench","default","mpeg4dec","ac3enc.c","352","fft_init"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","451","do_refine"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","949","merging"
"libraries","default","silk","SKP_Silk_decode_core.c","188","SKP_Silk_decode_core"
"cortexsuite","default","pca","pca.c","547","tred2"
"libraries","default","twolame","psycho_3.c","464","psycho_3_init"
"TSVC","default","default","tsc.c","2102","s233"
"libraries","default","libdeep","deepconvnet.c","607","deepconvnet_create_training_test_sets"
"libraries","default","daala","dct.c","8523","check_bias"
"libraries","default","lame","id3tag.c","769","setLang"
"FreeBench","default","pifft","pifft.c","1305","mp_unexp_mp2d"
"mediabench","default","gsm","lpc.c","81","Autocorrelation"
"mediabench","default","mpeg4enc","mjpeg.c","524","escape_FF"
"spec2006","v1.1","401.bzip2","blocksort.c","283","fallbackSort"
"mediabench","default","h264dec-lencod","mv-search.c","297","SetupLargerBlocks"
"polybench","4.1","linear-algebra-blas-symm","symm.c","37","init_array"
"spec2000","v1.3","183.equake","quake.c","352","main"
"libraries","default","twolame","psycho_3.c","145","psycho_3_tonal_label_range"
"GitApps","default","mozjpeg","jdmaster.c","426","prepare_range_limit_table"
"spec2000","v1.3","254.gap","scanner.c","1116","PutChr"
"mediabench","default","h264dec-ldecod","macroblock.c","333","interpret_mb_mode_B"
"NPB","2.3-OpenACC-C","LU","lu.c","880","erhs"
"mediabench","default","h264dec-lencod","mv-search.c","773","Init_Motion_Search_Module"
"spec2000","v1.3","254.gap","set.c","1152","FunUniteSet"
"NPB","2.3-OpenACC-C","LU","lu.c","1549","jacu"
"cortexsuite","default","pca","pca.c","497","tred2"
"libraries","default","libogg","framing.c","1516","test_pack"
"mediabench","default","mpeg4dec","dsputil.c","3675","vsad16_c"
"Kernels","SERIAL","Branch","func.c","12988","func27"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuCommonSubspace.c","540","mean_subtract_images"
"polybench","4.1","linear-algebra-solvers-trisolv","trisolv.c","74","kernel_trisolv"
"livermore","default","livermore","lloops.c","1672","endloop"
"NPB","2.3-OpenACC-C","EP","ep.c","106","main"
"spec2000","v1.3","300.twolf","readseg.c","216","readseg"
"netlib","default","cg","cg_rc.c","182","cg_rc"
"libraries","default","silk","SKP_Silk_pitch_analysis_core.c","218","SKP_Silk_pitch_analysis_core"
"spec2000","v1.3","186.crafty","init.c","1098","InitializePawnMasks"
"NPB","2.3-OpenACC-C","SP","sp.c","734","initialize"
"FreeBench","default","pifft","pifft.c","326","mp_round"
"libraries","default","libdeep","lodepng.c","1418","getHash"
"cortexsuite","default","srr","SystemMatrices.c","457","CalculateA"
"NPB","2.3-OpenACC-C","SP","sp.c","898","lhsx"
"spec2000","v1.3","256.bzip2","bzip2.c","1721","getAndMoveToFrontDecode"
"FreeBench","default","neural","neural.c","357","delta"
"mediabench","default","h264dec-lencod","lencod.c","574","CAVLC_init"
"mediabench","default","h264enc-lencod","leaky_bucket.c","174","Sort"
"spec2000","v1.3","186.crafty","init.c","542","InitializeChessBoard"
"Kernels","SERIAL","Branch","func.c","16236","func29"
"NPB","2.3-OpenACC-C","UA-SNU","transfer.c","220","transf"
"libraries","default","silk","SKP_Silk_PLC.c","327","SKP_Silk_PLC_conceal"
"mediabench","default","rasta","noise_est.c","562","det"
"netlib","default","cg","cg_rc_prb.c","143","test01"
"TSVC","default","default","tsc.c","1375","s127"
"GitApps","default","gap","permutat.c","1101","LQuoPerm22"
"libraries","default","libsndfile","xi.c","1042","s2dsc_array"
"mediabench","default","mpeg4dec","h263.c","3041","ff_h263_encode_mba"
"mediabench","default","h264enc-lencod","transform8x8.c","1381","LowPassForIntra8x8Pred"
"spec2006","v1.1","435.gromacs","calcmu.c","63","calc_mu_and_q"
"spec2006","v1.1","456.hmmer","plan7.c","144","AllocPlan7Body"
"libraries","default","daala","intra.c","103","od_resample_luma_coeffs"
"FreeBench","default","pifft","fftsg.c","671","makewt"
"GitApps","default","gap","trans.c","1364","FuncPERM_LEFT_QUO_TRANS_NC"
"GitApps","default","mozjpeg","jidctint.c","717","jpeg_idct_5x5"
"spec2000","v1.3","300.twolf","qsorte.c","47","qsorte"
"spec2006","v1.1","401.bzip2","blocksort.c","895","mainSort"
"spec2000","v1.3","183.equake","quake.c","315","main"
"spec2006","v1.1","400.perlbench","regcomp.c","3872","S_regclass"
"Kernels","SERIAL","Transpose","transpose.c","141","main"
"Kernels","SERIAL","Branch","func.c","22732","func33"
"libraries","default","silk","SKP_Silk_corrMatrix_FIX.c","95","SKP_Silk_corrMatrix_FIX"
"NPB","2.3-OpenACC-C","SP","sp.c","1327","compute_rhs"
"spec2000","v1.3","183.equake","quake.c","367","main"
"livermore","default","livermore","lloops.c","1809","endloop"
"mediabench","default","h264dec-lencod","rdopt.c","3475","assign_enc_picture_params"
"spec2006","v1.1","482.sphinx3","hash.c","179","makekey"
"NPB","2.3-OpenACC-C","SP","sp.c","409","exact_rhs"
"NPB","2.3-OpenACC-C","LU","lu.c","209","blts"
"Kernels","SERIAL","Branch","func.c","3242","func21"
"cortexsuite","default","cnn","MNistDoc.c","679","CalculateHessian"
"TSVC","default","default","tsc.c","4213","s1351"
"libraries","default","libsndfile","sds.c","534","sds_4byte_read"
"libraries","default","libdeep","autocoder.c","136","autocoder_encode"
"spec2006","v1.1","445.gobmk","value_moves.c","57","move_connects_strings"
"mediabench","default","mpeg2dec","idct.c","209","Initialize_Fast_IDCT"
"spec2006","v1.1","445.gobmk","board.c","998","get_last_opponent_move"
"FreeBench","default","pifft","pifft.c","332","mp_round"
"mediabench","default","mpeg2enc","fdctref.c","70","fdct"
"libraries","default","libsndfile","paf.c","722","paf24_write_s"
"spec2006","v1.1","435.gromacs","innerc.c","3423","inl1100"
"libraries","default","silk","SKP_Silk_biquad_alt.c","57","SKP_Silk_biquad_alt"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuSubspaceCVEigen.c","191","cvJacobiEigens_64d"
"spec2000","v1.3","256.bzip2","bzip2.c","2185","sortIt"
"mediabench","default","h264dec-lencod","block.c","500","intrapred_luma_16x16"
"spec2006","v1.1","464.h264ref","rdopt.c","1323","SetModesAndRefframeForBlocks"
"mediabench","default","mpeg4dec","ac3enc.c","179","ac3_parametric_bit_allocation"
"mediabench","default","h263dec","tmndec.c","187","initdecoder"
"libraries","default","daala","dct.c","8618","od_bin_prefilter_columns_2d"
"spec2000","v1.3","186.crafty","init.c","1334","InitializeZeroMasks"
"TSVC","default","default","tsc.c","4315","s421"
"Kernels","SERIAL","Random","random.c","298","main"
"spec2006","v1.1","445.gobmk","move_reasons.c","244","find_eye"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1677","edgecopy_s"
"netlib","default","cg","cg_rc.c","187","cg_rc"
"polybench","4.1","linear-algebra-blas-gesummv","gesummv.c","37","init_array"
"libraries","default","daala","dct.c","8741","dynamic_range"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuSubspaceProject.c","347","distanceMahCosine"
"GitApps","default","gap","scanner.c","2567","PutChrTo"
"libraries","default","libpng","pngrtran.c","2737","png_do_read_filler"
"spec2006","v1.1","458.sjeng","moves.c","392","check_legal"
"mediabench","default","h264enc-lencod","block.c","500","intrapred_luma_16x16"
"NPB","2.3-OpenACC-C","LU","lu.c","861","erhs"
"livermore","default","livermore","lloops.c","842","kernels"
"mediabench","default","mpeg4enc","mpegaudiodec.c","435","decode_init"
"mediabench","default","mpeg4dec","imgconvert.c","1313","grow21_line"
"NPB","2.3-OpenACC-C","CG","cg.c","763","sparse"
"Kernels","SERIAL","Nstream","nstream.c","209","main"
"cortexsuite","default","sphinx","bio.c","286","chksum_accum"
"libraries","default","flac","window.c","257","FLAC_window_punchout_tukey"
"spec2006","v1.1","435.gromacs","nsgrid.c","319","fill_grid"
"Kernels","SERIAL","Branch","func.c","806","func0"
"mediabench","default","mpeg4enc","mpegaudio.c","193","idct32"
"ALPBench","v1.0","MPGdec","recon.c","1357","form_component_prediction2"
"libraries","default","libsndfile","xi.c","1009","dsc2f_array"
"TSVC","default","default","tsc.c","5367","vbor"
"FreeBench","default","pifft","fftsg.c","923","bitrv2conj"
"spec2006","v1.1","400.perlbench","regcomp.c","3916","S_regclass"
"spec2000","v1.3","253.perlbmk","pp_ctl.c","231","Perl_rxres_save"
"NPB","2.3-OpenACC-C","LU","lu.c","1153","error"
"spec2006","v1.1","445.gobmk","reading.c","2905","attack3"
"mediabench","default","h264enc-lencod","transform8x8.c","1336","LowPassForIntra8x8Pred"
"Kernels","SERIAL","Amr","amr.c","94","interpolate"
"mediabench","default","h264enc-lencod","q_offsets.c","408","InitOffsetParam"
"livermore","default","livermore","lloops.c","1729","endloop"
"spec2006","v1.1","400.perlbench","op.c","2639","Perl_pmtrans"
"libraries","default","libdeep","deeplearn.c","158","deeplearn_init"
"mediabench","default","h264enc-lencod","block.c","437","intrapred_luma_16x16"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","953","merging"
"FreeBench","default","neural","neural.c","694","runcont"
"TSVC","default","default","tsc.c","838","s1111"
"mediabench","default","h264enc-lencod","block.c","618","dct_luma_16x16"
"ALPBench","v1.0","MPGdec","recon.c","712","form_component_prediction"
"spec2006","v1.1","458.sjeng","moves.c","1118","f_in_check"
"spec2000","v1.3","300.twolf","findunlap.c","21","findunlap"
"libraries","default","daala","dering.c","272","od_dering"
"NPB","2.3-OpenACC-C","SP","sp.c","651","initialize"
"spec2000","v1.3","255.vortex","testobj.c","363","Draw701"
"mediabench","default","gsm","lpc.c","136","Autocorrelation"
"mediabench","default","h264enc-lencod","q_offsets.c","422","InitOffsetParam"
"mediabench","default","mpeg4enc","pcm.c","285","pcm_encode_frame"
"spec2006","v1.1","458.sjeng","draw.c","42","is_draw"
"mediabench","default","mpeg4enc","mpegaudio.c","156","MPA_encode_init"
"spec2006","v1.1","435.gromacs","ns.c","1768","search_neighbours"
"mediabench","default","h264enc-ldecod","fmo.c","147","FmoGenerateMbToSliceGroupMap"
"mediabench","default","rasta","io.c","485","get_bindata"
"GitApps","default","mozjpeg","jdsample.c","182","int_upsample"
"GitApps","default","gap","trans.c","1111","FuncPERM_IMG_TRANS"
"spec2006","v1.1","400.perlbench","Opcode.c","224","opmask_add"
"libraries","default","twolame","psycho_4.c","501","psycho_4"
"spec2006","v1.1","482.sphinx3","approx_cont_mgau.c","347","approx_cont_mgau_frame_eval"
"cortexsuite","default","lda","cokus.c","118","reloadMT"
"TSVC","default","default","tsc.c","1740","s173"
"mediabench","default","mpeg4enc","h263.c","1830","init_uni_dc_tab"
"cortexsuite","default","cnn","NeuralNetwork.c","262","BackpropagateSecondDervativesNN"
"mediabench","default","rasta","lpccep.c","95","lpccep"
"ALPBench","v1.0","MPGdec","recon.c","906","form_component_prediction"
"NPB","2.3-OpenACC-C","BT","bt.c","2001","compute_rhs"
"mediabench","default","h264dec-lencod","image.c","1868","find_distortion"
"mediabench","default","h264enc-ldecod","block.c","698","intrapred_chroma"
"spec2000","v1.3","256.bzip2","bzip2.c","979","hbMakeCodeLengths"
"mediabench","default","h264dec-lencod","rdopt.c","2990","RestoreMVBlock8x8"
"mediabench","default","cjpeg","jfdctint.c","154","jpeg_fdct_islow"
"TSVC","default","default","tsc.c","3285","s293"
"Kernels","SERIAL","Branch","func.c","16234","func29"
"FreeBench","default","fourinarow","fourinarow.c","288","find_winner_c"
"cortexsuite","default","liblinear","linear.c","972","solve_l2r_l1l2_svc"
"TSVC","default","default","tsc.c","4767","s482"
"TSVC","default","default","tsc.c","3971","s323"
"NPB","2.3-OpenACC-C","LU","lu.c","414","buts"
"mediabench","default","h264dec-lencod","rdopt.c","1604","SetCoeffAndReconstruction8x8"
"mediabench","default","h264enc-ldecod","macroblock.c","351","interpret_mb_mode_B"
"FreeBench","default","pifft","pifft.c","952","mp_mul_cmul"
"spec2006","v1.1","464.h264ref","rdopt.c","1089","RDCost_for_8x8blocks"
"NPB","2.3-OpenACC-C","UA-SNU","transfer.c","445","transfb"
"spec2006","v1.1","482.sphinx3","kb.c","355","kb_init"
"ALPBench","v1.0","MPGenc","transfrm.c","494","sub_pred"
"TSVC","default","default","tsc.c","3134","s2712"
"libraries","default","libdeep","lodepng.c","1384","hash_init"
"mediabench","default","mpeg4enc","bitstream.c","151","build_table"
"libraries","default","libpng","pngrtran.c","4523","png_do_expand"
"spec2006","v1.1","482.sphinx3","ckd_alloc.c","180","ckd_calloc_3d"
"cortexsuite","default","clustering-spectral","spectral.c","149","main"
"libraries","default","libsndfile","paf.c","554","paf24_read_s"
"libraries","default","silk","SKP_Silk_NSQ.c","391","SKP_Silk_nsq_scale_states"
"GitApps","default","gap","permutat.c","898","QuoPerm22"
"libraries","default","libdeep","deeplearndata.c","105","deeplearndata_add"
"NPB","2.3-OpenACC-C","UA-SNU","convect.c","64","convect"
"mediabench","default","mpeg4dec","ac3enc.c","846","ac3_common_init"
"spec2000","v1.3","175.vpr","rr_graph2.c","560","load_chany_rr_indices"
"libraries","default","twolame","psycho_3.c","442","psycho_3_init"
"libraries","default","libdeep","deeplearn.c","78","deeplearn_update_history"
"spec2000","v1.3","254.gap","system.c","1246","SyFgets"
"NPB","2.3-OpenACC-C","SP","sp.c","1573","compute_rhs"
"spec2006","v1.1","401.bzip2","blocksort.c","850","mainSort"
"libraries","default","daala","state.c","566","od_adapt_ctx_reset"
"Kernels","SERIAL","Branch","func.c","17048","func10"
"mediabench","default","rasta","nl_audspec.c","59","nl_audspec"
"GitApps","default","gap","vec8bit.c","4192","ResizeVec8Bit"
"Kernels","SERIAL","Branch","func.c","6490","func23"
"libraries","default","silk","SKP_Silk_sum_sqr_shift.c","72","SKP_Silk_sum_sqr_shift"
"polybench","4.1","medley-deriche","deriche.c","92","kernel_deriche"
"spec2006","v1.1","400.perlbench","util.c","1952","Perl_my_swabn"
"FreeBench","default","pifft","pifft.c","545","mp_unexp_sub"
"spec2000","v1.3","172.mgrid","mgrid.c","405","resid"
"spec2000","v1.3","256.bzip2","bzip2.c","1044","hbAssignCodes"
"mediabench","default","h264dec-ldecod","image.c","404","find_snr"
"NPB","2.3-OpenACC-C","CG","cg.c","271","main"
"mediabench","default","h264dec-ldecod","biaridecod.c","202","arideco_start_decoding"
"spec2006","v1.1","464.h264ref","mbuffer.c","3629","compute_colocated"
"mediabench","default","h264dec-lencod","mv-search.c","1121","SATD"
"spec2000","v1.3","301.apsi","apsi.c","3959","dpdy"
"mediabench","default","h263dec","recon.c","485","recvc"
"NPB","2.3-OpenACC-C","SP","sp.c","1159","lhsz"
"cortexsuite","default","sphinx","hmm.c","175","hmm_clear_scores"
"spec2006","v1.1","458.sjeng","moves.c","1055","f_in_check"
"cortexsuite","default","rbm","main.c","191","train"
"libraries","default","silk","SKP_Silk_burg_modified.c","209","SKP_Silk_burg_modified"
"ALPBench","v1.0","MPGenc","predict.c","536","pred_comp"
"libraries","default","silk","SKP_Silk_noise_shape_analysis_FIX.c","65","limit_warped_coefs"
"mediabench","default","h264dec-lencod","parset.c","394","GeneratePictureParameterSet"
"mediabench","default","mpeg4enc","ac3enc.c","265","ac3_parametric_bit_allocation"
"mediabench","default","mpeg2enc","mpeg2enc.c","272","readparmfile"
"TSVC","default","default","tsc.c","3917","s321"
"Kernels","SERIAL","Branch","func.c","21918","func13"
"mediabench","default","h264enc-lencod","intrarefresh.c","125","RandomIntraNewPicture"
"libraries","default","daala","dct.c","8644","od_bin_fxform_2d"
"TSVC","default","default","tsc.c","1031","s1115"
"spec2006","v1.1","458.sjeng","ttable.c","88","initialize_hash"
"libraries","default","silk","SKP_Silk_noise_shape_analysis_FIX.c","465","SKP_Silk_noise_shape_analysis_FIX"
"spec2006","v1.1","464.h264ref","mv-search.c","247","SetupLargerBlocks"
"spec2006","v1.1","482.sphinx3","feat.c","372","feat_stream_len_sum"
"spec2006","v1.1","458.sjeng","moves.c","881","f_in_check"
"livermore","default","livermore","lloops.c","798","kernels"
"libraries","default","twolame","subband.c","139","window_filter_subband"
"spec2006","v1.1","445.gobmk","readconnect.c","716","find_connection_moves"
"libraries","default","libpng","pngwtran.c","46","png_do_pack"
"NPB","2.3-OpenACC-C","BT","bt.c","1892","compute_rhs"
"spec2000","v1.3","253.perlbmk","util.c","2201","Perl_repeatcpy"
"Kernels","SERIAL","Branch","func.c","4870","func22"
"spec2000","v1.3","255.vortex","tree0.c","97","Tree_DeleteFrom"
"mediabench","default","h264dec-lencod","rdopt.c","1189","RDCost_for_8x8blocks"
"mediabench","default","mpeg4dec","h263.c","1374","h263_encode_mb"
"spec2006","v1.1","429.mcf","treeup.c","154","update_tree"
"mediabench","default","mpeg4enc","msmpeg4.c","217","init_mv_table"
"Kernels","SERIAL","Sparse","sparse.c","239","main"
"spec2000","v1.3","254.gap","permutat.c","1019","PowPI"
"NPB","2.3-OpenACC-C","BT","bt.c","1881","compute_rhs"
"spec2006","v1.1","435.gromacs","pbc.c","245","calc_shifts"
"GitApps","default","gap","vecgf2.c","3063","FuncTRANSPOSED_GF2MAT"
"TSVC","default","default","tsc.c","4537","s442"
"mediabench","default","h264enc-lencod","block.c","784","dct_luma_16x16"
"mediabench","default","mpeg4dec","mpeg12.c","511","mpeg1_encode_mb"
"spec2006","v1.1","482.sphinx3","dict2pid.c","372","dict2pid_build"
"cortexsuite","default","sphinx","listelem_alloc.c","160","listelem_add_block"
"mediabench","default","gsm","short_term.c","99","Coefficients_0_12"
"Kernels","SERIAL","Random","random.c","366","PRK_starts"
"mediabench","default","gsm","short_term.c","205","Short_term_analysis_filtering"
"libraries","default","silk","SKP_Silk_PLC.c","377","SKP_Silk_PLC_glue_frames"
"spec2000","v1.3","255.vortex","testobj.c","263","Draw701"
"spec2006","v1.1","401.bzip2","compress.c","474","sendMTFValues"
"NPB","2.3-OpenACC-C","SP","sp.c","885","lhsx"
"spec2006","v1.1","445.gobmk","reading.c","966","attack_threats"
"mediabench","default","mpeg4dec","ac3enc.c","1325","log2_tab"
"NPB","2.3-OpenACC-C","IS","is.c","561","main"
"libraries","default","lame","psymodel.c","1755","init_numline"
"NPB","2.3-OpenACC-C","SP","sp.c","1235","pinvr"
"spec2000","v1.3","300.twolf","findunlap.c","125","findunlap"
"livermore","default","livermore","lloops.c","1929","endloop"
"cortexsuite","default","sphinx","feat.c","602","feat_1s_c_d_dd_cep2feat"
"NPB","2.3-OpenACC-C","SP","sp.c","856","lhsx"
"cortexsuite","default","lda","lda-estimate.c","47","doc_e_step"
"mediabench","default","h264enc-lencod","mv-search.c","262","SetupLargerBlocks"
"TSVC","default","default","tsc.c","1495","s141"
"mediabench","default","h264enc-ldecod","macroblock.c","498","reset_coeffs"
"mediabench","default","h264dec-ldecod","vlc.c","570","GetVLCSymbol"
"spec2000","v1.3","186.crafty","init.c","914","InitializeMasks"
"libraries","default","silk","SKP_Silk_prefilter_FIX.c","172","SKP_Silk_prefilt_FIX"
"spec2006","v1.1","401.bzip2","compress.c","205","generateMTFValues"
"mediabench","default","mpeg4dec","imgconvert.c","1307","grow21_line"
"Kernels","SERIAL","Branch","func.c","30042","func18"
"mediabench","default","h263enc","dct.c","314","idctref"
"cortexsuite","default","sphinx","cmn.c","165","cmn"
"TSVC","default","default","tsc.c","1059","s116"
"libraries","default","twolame","psycho_4.c","369","psycho_4"
"mediabench","default","mpeg2enc","transfrm.c","188","add_pred"
"Kernels","SERIAL","Reduce","reduce.c","109","main"
"spec2000","v1.3","254.gap","vecffe.c","929","IsXTypeMatFFE"
"mediabench","default","mpeg4enc","mjpeg.c","236","build_huffman_codes"
"mediabench","default","mpeg4enc","mjpeg.c","541","escape_FF"
"spec2006","v1.1","401.bzip2","compress.c","528","sendMTFValues"
"NPB","2.3-OpenACC-C","LU","lu.c","2729","setbv"
"NPB","2.3-OpenACC-C","LU","lu.c","1994","pintgr"
"NPB","2.3-OpenACC-C","BT","bt.c","2122","compute_rhs"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","443","do_refine"
"spec2000","v1.3","300.twolf","findfeeds.c","631","fixwolf"
"mediabench","default","h264dec-lencod","configfile.c","659","PatchInp"
"netlib","default","cg","cg_rc_prb.c","207","test01"
"spec2000","v1.3","179.art","scanner.c","707","loadimage"
"livermore","default","livermore","lloops.c","462","main"
"GitApps","default","mozjpeg","jidctint.c","2153","jpeg_idct_15x15"
"libraries","default","twolame","psycho_3.c","206","psycho_3_init_add_db"
"mediabench","default","h264dec-ldecod","block.c","698","intrapred_chroma"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1698","mor_s_e"
"libraries","default","silk","SKP_Silk_schur.c","67","SKP_Silk_schur"
"mediabench","default","h264dec-lencod","q_offsets.c","422","InitOffsetParam"
"libraries","default","lame","lame.c","2574","lame_block_type_hist"
"libraries","default","silk","SKP_Silk_VAD.c","223","SKP_Silk_VAD_GetSA_Q8"
"mediabench","default","h263dec","getpic.c","762","addblock"
"NPB","2.3-OpenACC-C","BT","bt.c","272","rhs_norm"
"GitApps","default","gap","tietze.c","256","FuncTzSortC"
"GitApps","default","mozjpeg","jccoefct.c","443","compress_trellis_pass"
"mediabench","default","mpeg4enc","ac3enc.c","466","mdct512"
"spec2006","v1.1","445.gobmk","influence.c","285","accumulate_influence"
"mediabench","default","h264enc-lencod","slice.c","1023","poc_ref_pic_reorder"
"mediabench","default","h263dec","store.c","399","conv422to444"
"spec2000","v1.3","301.apsi","apsi.c","10093","radfg"
"libraries","default","libdeep","autocoder.c","547","autocoder_plot_weights"
"mediabench","default","h264enc-lencod","mv-search.c","773","Init_Motion_Search_Module"
"mediabench","default","h263enc","pred.c","1292","ReconChromBlock_P"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1751","mor_s_e_nn"
"libraries","default","silk","SKP_Silk_PLC.c","95","SKP_Silk_PLC_update"
"libraries","default","libsndfile","sds.c","790","sds_2byte_write"
"mediabench","default","h264dec-lencod","lencod.c","1898","init_global_buffers"
"spec2000","v1.3","256.bzip2","bzip2.c","1250","generateMTFValues"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","943","merging"
"NPB","2.3-OpenACC-C","UA-SNU","setup.c","236","geom1"
"spec2000","v1.3","186.crafty","setboard.c","62","SetBoard"
"FreeBench","default","neural","neural.c","446","readvector"
"NPB","2.3-OpenACC-C","BT","bt.c","737","initialize"
"TSVC","default","default","tsc.c","5059","vag"
